simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
908126,9.809992742,0.711295962,0.71379602,0.002500058
908134,9.810007643,0.71379602,0.716295958,0.002499938
908143,9.810007643,0.716295958,0.718795896,0.002499938
908153,9.809992742,0.718795896,0.721295953,0.002500057
908162,9.810007643,0.721295953,0.72379601,0.002500057
908172,9.809986222,0.72379601,0.726295948,0.002499938
908181,9.810007643,0.726295948,0.728796005,0.002500057
908190,9.810000192,0.728796005,0.731295943,0.002499938
908199,9.809992742,0.731295943,0.733796,0.002500057
908208,9.810021613,0.733796,0.736295938,0.002499938
908216,9.809972252,0.736295938,0.738795877,0.002499939
908226,9.810020681,0.738795877,0.741295934,0.002500057
908234,9.809986222,0.741295934,0.743795872,0.002499938
908243,9.810007643,0.743795872,0.746295929,0.002500057
908252,9.810015093,0.746295929,0.748795867,0.002499938
908261,9.809986222,0.748795867,0.751294971,0.002499104
908270,9.809986222,0.751294971,0.753793299,0.002498328
908278,9.810014162,0.753793299,0.756291628,0.002498329
908287,9.810006711,0.756291628,0.758789957,0.002498329
908297,9.809979703,0.758789957,0.761288166,0.002498209
908305,9.810021613,0.761288166,0.763786376,0.00249821
908313,9.809992742,0.763786376,0.766284764,0.002498388
908322,9.810007643,0.766284764,0.768782973,0.002498209
908332,9.810000192,0.768782973,0.771281302,0.002498329
908341,9.809986222,0.771281302,0.773779571,0.002498269
908350,9.810007643,0.773779571,0.7762779,0.002498329
908359,9.809993673,0.7762779,0.778776228,0.002498328
908368,9.810021613,0.778776228,0.781274438,0.00249821
908376,9.809978772,0.781274438,0.783772826,0.002498388
908385,9.809992742,0.783772826,0.786259234,0.002486408
908393,9.810028132,0.786259234,0.78874135,0.002482116
908403,9.809986222,0.78874135,0.791223586,0.002482236
908412,9.810000192,0.791223586,0.793705821,0.002482235
908421,9.810000192,0.793705821,0.796188056,0.002482235
908430,9.810000192,0.796188056,0.798670232,0.002482176
908439,9.810000192,0.798670232,0.801152349,0.002482117
908448,9.810000192,0.801152349,0.803634584,0.002482235
908457,9.810000192,0.803634584,0.80611676,0.002482176
908466,9.810000192,0.80611676,0.808598995,0.002482235
908476,9.810000192,0.808598995,0.811081171,0.002482176
908485,9.809993673,0.811081171,0.813563287,0.002482116
908493,9.810007643,0.813563287,0.816045582,0.002482295
908503,9.810014162,0.816045582,0.818492889,0.002447307
908513,9.809986222,0.818492889,0.820935905,0.002443016
908523,9.810000192,0.820935905,0.823378801,0.002442896
908533,9.809986222,0.823378801,0.825821698,0.002442897
908543,9.810021613,0.825821698,0.828264713,0.002443015
908551,9.810000192,0.828264713,0.83070761,0.002442897
908559,9.809978772,0.83070761,0.833150625,0.002443015
908567,9.810029063,0.833150625,0.835593522,0.002442897
908576,9.809979703,0.835593522,0.838036418,0.002442896
908584,9.810006711,0.838036418,0.840479374,0.002442956
908594,9.810007643,0.840479374,0.84292227,0.002442896
908603,9.809986222,0.84292227,0.845365286,0.002443016
